"","Gene","FDR_no_PPI","FDR_PPI","w1"
"150","BMP2",0.954192560175055,0.693038158309682,4.35889894354067
"151","BMP4",0.963451996601529,0.738037305421363,4.69041575982343
"152","BMP7",0.96654475308642,0.762909752547307,3.3166247903554
"153","BMPR1A",0.970051440329218,0.763080484848485,4.35889894354067
"154","BMPR1B",0.96656900539707,0.787450890916993,4
"155","BMPR2",0.949452876376989,0.37732228719948,4.35889894354067
"156","BMS1",0.966593220338983,0,8
"157","BOC",0.96661739799846,0.755516516516517,1
"158","BOP1",0.747496296296296,0,7.87400787401181
"159","BRAF",0.09368,0.0132024202420242,5.19615242270663
"160","BRCA1",0.97248460087995,0.800897842897843,5.19615242270663
"161","BRD1",0.966641538461538,0.763250968992248,1.73205080756888
"162","BRD7",0.935942122186495,0.643361999264976,2.82842712474619
"163","BRPF1",0.963480475382003,0.75569792448112,2.44948974278318
"164","BRPF3",0.963508905852417,0.745118245888802,1.73205080756888
"165","BRWD1",0.97250188442211,0.793741092135779,1
"166","BTK",0.972519146264909,0.801019117347976,3.46410161513775
"167","BTLA",0.881136363636364,0.283021771771772,1.4142135623731
"168","BTRC",0.966665641813989,0.693322936357908,4.69041575982343
"169","BUB1",0.954237158469945,0.702962793534614,5
"170","BUB1B",0.954281659388646,0.712016252955083,4.89897948556636
"171","BUB3",0.944185185185185,0.595255123379339,4.69041575982343
"172","BUD31",0.94425205479452,0,7.28010988928052
"173","BYSL",0.949507334963325,0,8.71779788708135
"174","C1D",0.881482200647249,0.0364710830704522,4
"175","C1ORF127",0.949561660561661,0.674610441767068,0
"176","C2CD3",0.972536386449184,0.77019605077574,3.60555127546399
"177","C5ORF42",0.966689708141321,0.787588707926167,0
"178","C6ORF25",0.949615853658537,0.310281385281385,1.4142135623731
"179","CACNA1C",0.972553605015674,0.808709872922776,3.46410161513775
"180","CACNA2D1",0.972570802005013,0.793871049304678,2.44948974278318
"181","CACNA2D2",0.972587977457733,0.787726345486111,2.44948974278318
"182","CACNA2D3",0.963537288135593,0.731650440044004,2.44948974278318
"183","CACNA2D4",0.959042430086789,0.712266902863891,2.44948974278318
"184","CACNB1",0.970071281699794,0.763421205519245,2.64575131106459
"185","CACNB2",0.972605131414268,0.787863803947083,2.82842712474619
"186","CACNB3",0.96671373752878,0.763591194968553,2.44948974278318
"187","CACNB4",0.954326063249727,0.788001083658431,2.44948974278318
"188","CACNG1",0.862053639846743,0.579774011299435,2.82842712474619
"189","CALM1",0.926245746691871,0.549901631701632,2.44948974278318
"190","CALM2",0.936032102728732,0.619090408805031,1.73205080756888
"191","CALM3",0.926367924528302,0.550516759776536,1.73205080756888
"192","CAPZA1",0.901619422572178,0.311735061195104,3
"193","CAPZA2",0.944318741450068,0.619529642716922,3.46410161513775
"194","CAPZB",0.944385245901639,0.731868370431437,3.46410161513775
"195","CARM1",0.72469918699187,0.525204332840965,4.24264068711928
"196","CASC3",0.95437037037037,0.00101824817518248,6.08276253029822
"197","CAV1",0.959078034682081,0.693607176581681,4
"198","CBL",0.972622263914947,0.770356589147287,8.12403840463596
"199","CBX3",0.833377358490566,0.580309461805556,4
"200","CC2D2A",0.972639375,0.801140243902439,4.35889894354067
"201","CCDC103",0.901848167539267,0.663686050536518,0
"202","CCDC114",0.902075718015666,0.664028008298755,1
"203","CCDC151",0.954414581066376,0.72699468233977,0
"204","CCDC39",0.954458695652174,0.712517109144543,1
"205","CCDC40",0.959113570741097,0.71276687297377,1
"206","CCL11",0.686672897196262,0.407764814814815,1.73205080756888
"207","CCL19",0.726766129032258,0.396847169811321,3.74165738677394
"208","CCL20",0.785472049689441,0.435341563786008,4
"209","CCL21",0.936121794871795,0.447714367816092,3.60555127546399
"210","CCL25",0.881825806451613,0.316059370529328,3.87298334620742
"211","CCL4",0.944451568894952,0.279859728506787,3.60555127546399
"212","CCL4L1",0.926489642184557,0.378506485084306,2.23606797749979
"213","CCL5",0.812172043010753,0.292344444444444,4
"214","CCNA2",0.882167202572347,0.505929230769231,5.91607978309962
"215","CCNB1",0.862530534351145,0.397957313245449,5.65685424949238
"216","CCNB2",0.926610902255639,0.674930458040789,4.79583152331272
"217","CCNC",0.902302083333333,0.47343732895457,5.74456264653803
"218","CCND1",0.813096256684492,0.270210244648318,6.78232998312527
"219","CCND2",0.834093896713615,0.458660472972973,4.24264068711928
"220","CCND3",0.959149038461538,0.53461505065123,3.87298334620742
"221","CCNE2",0.88250641025641,0.448643717728055,3.74165738677394
"222","CCP110",0.963565622353937,0.713016195524146,4.69041575982343
